"","year","watershed","elevation","transect","sample","stem_length","leaf1area","leaf2area","leaf_dry_mass","stem_dry_mass","corrected_leaf_area"
"1",2004,"W1",NA,"W1-2","19",109,NA,NA,0.1049,0.109,NA
"2",2004,"W1",NA,"W1-3","6",70,NA,NA,0.0827,0.0565,NA
"3",2004,"W1",NA,"W1-3","4",101,NA,NA,0.1408,0.1249,NA
"4",2004,"W1",NA,"W1-3","11",117,NA,NA,0.123,0.1164,NA
"5",2004,"W1",NA,"W1-3","7",81,NA,NA,0.1428,0.0838,NA
"6",2004,"W1",NA,"W1-1","14",90,NA,NA,0.1025,0.0917,NA
"7",2004,"W1",NA,"W1-1","8",102,NA,NA,0.0643,0.061,NA
"8",2004,"W1",NA,"W1-1","18",110,NA,NA,0.0966,0.0966,NA
"9",2004,"W1",NA,"W1-1","11",83,NA,NA,0.1039,0.0751,NA
"10",2004,"W1",NA,"W1-2","12",90,NA,NA,0.0733,0.0704,NA
"11",2004,"W1",NA,"W1-2","13",78,NA,NA,0.06,0.0464,NA
"12",2004,"W1",NA,"W1-1","20",96,NA,NA,0.089,0.0795,NA
"13",2004,"W1",NA,"W1-2","15",92,NA,NA,0.1208,0.0851,NA
"14",2004,"W1",NA,"W1-3","15",102,NA,NA,0.1133,0.0997,NA
"15",2004,"W1",NA,"W1-1","6",86,NA,NA,0.1247,0.0929,NA
"16",2004,"W1",NA,"W1-1","17",121,NA,NA,0.095,0.0836,NA
"17",2004,"W1",NA,"W1-3","8",102,NA,NA,0.1148,0.1008,NA
"18",2004,"W1",NA,"W1-1","10",92,NA,NA,0.1032,0.091,NA
"19",2004,"W1",NA,"W1-2","20",98,NA,NA,0.1509,0.1157,NA
"20",2004,"W1",NA,"W1-1","12",109,NA,NA,0.1484,0.1211,NA
"21",2004,"W1",NA,"W1-3","16",103,NA,NA,0.0772,0.0822,NA
"22",2004,"W1",NA,"W1-2","8",117,NA,NA,0.1291,0.1099,NA
"23",2004,"W1",NA,"W1-3","18",83,NA,NA,0.0927,0.0709,NA
"24",2004,"W1",NA,"W1-1","3",99,NA,NA,0.1339,0.1052,NA
"25",2004,"W1",NA,"W1-3","2",92,NA,NA,0.0988,0.0851,NA
"26",2004,"W1",NA,"W1-1","5",80,NA,NA,0.0995,0.0697,NA
"27",2004,"W1",NA,"W1-2","17",63,NA,NA,0.0805,0.0505,NA
"28",2004,"W1",NA,"W1-3","12",95,NA,NA,0.1043,0.0931,NA
"29",2004,"W1",NA,"W1-3","5",118,NA,NA,0.1381,0.1353,NA
"30",2004,"W1",NA,"W1-1","1",92,NA,NA,0.1039,0.0778,NA
"31",2004,"W1",NA,"W1-2","9",102,NA,NA,0.1151,0.0894,NA
"32",2004,"W1",NA,"W1-3","3",89,NA,NA,0.1311,0.0975,NA
"33",2004,"W1",NA,"W1-3","1",93,NA,NA,0.1231,0.086,NA
"34",2004,"W1",NA,"W1-2","18",77,NA,NA,0.0963,0.0525,NA
"35",2004,"W1",NA,"W1-3","9",120,NA,NA,0.1699,0.1488,NA
"36",2004,"W1",NA,"W1-2","2",115,NA,NA,0.2001,0.15,NA
"37",2004,"W1",NA,"W1-1","4",120,NA,NA,0.0928,0.1138,NA
"38",2004,"W1",NA,"W1-1","16",110,NA,NA,0.1271,0.1079,NA
"39",2004,"W1",NA,"W1-3","19",119,NA,NA,0.0909,0.1052,NA
"40",2004,"W1",NA,"W1-1","15",94,NA,NA,0.1375,0.1016,NA
"41",2004,"W1",NA,"W1-3","17",92,NA,NA,0.073,0.0561,NA
"42",2004,"W1",NA,"W1-3","20",96,NA,NA,0.0405,0.0577,NA
"43",2004,"W1",NA,"W1-3","10",109,NA,NA,0.1348,0.1109,NA
"44",2004,"W1",NA,"W1-1","19",104,NA,NA,0.1315,0.1119,NA
"45",2004,"W1",NA,"W1-2","6",90,NA,NA,0.0859,0.0863,NA
"46",2004,"W1",NA,"W1-1","9",87,NA,NA,0.0988,0.092,NA
"47",2004,"W1",NA,"W1-1","2",111,NA,NA,0.1068,0.1042,NA
"48",2004,"W1",NA,"W1-2","5",92,NA,NA,0.1267,0.0913,NA
"49",2004,"W1",NA,"W1-2","16",106,NA,NA,0.1381,0.1236,NA
"50",2004,"W1",NA,"W1-3","13",98,NA,NA,0.1322,0.1087,NA
"51",2004,"Reference",NA,"R1","14",57,NA,NA,0.0404,0.0344,NA
"52",2004,"Reference",NA,"R2","12",78,NA,NA,0.0517,0.0534,NA
"53",2004,"Reference",NA,"R1","5",80,NA,NA,0.0321,0.0347,NA
"54",2004,"Reference",NA,"R3","13",97,NA,NA,0.0812,0.0767,NA
"55",2004,"Reference",NA,"R3","3",96,NA,NA,0.0823,0.0924,NA
"56",2004,"Reference",NA,"R3","19",127,NA,NA,0.0698,0.0999,NA
"57",2004,"Reference",NA,"R2","16",86,NA,NA,0.0549,0.0566,NA
"58",2004,"Reference",NA,"R2","11",86,NA,NA,0.0612,0.0727,NA
"59",2004,"Reference",NA,"R2","2",71,NA,NA,0.1046,0.0936,NA
"60",2004,"Reference",NA,"R1","1",64,NA,NA,0.0617,0.044,NA
"61",2004,"Reference",NA,"R2","6",68,NA,NA,0.0495,0.0483,NA
"62",2004,"Reference",NA,"R1","4",70,NA,NA,0.0494,0.0406,NA
"63",2004,"Reference",NA,"R1","7",81,NA,NA,0.0567,0.0493,NA
"64",2004,"Reference",NA,"R2","10",102,NA,NA,0.1027,0.1048,NA
"65",2004,"Reference",NA,"R2","17",85,NA,NA,0.056,0.056,NA
"66",2004,"Reference",NA,"R3","16",85,NA,NA,0.0366,0.0438,NA
"67",2004,"Reference",NA,"R3","18",91,NA,NA,0.1037,0.0906,NA
"68",2004,"Reference",NA,"R3","10",111,NA,NA,0.0897,0.0896,NA
"69",2004,"Reference",NA,"R2","15",66,NA,NA,0.0745,0.0605,NA
"70",2004,"Reference",NA,"R1","12",94,NA,NA,0.0817,0.0612,NA
"71",2004,"Reference",NA,"R1","6",84,NA,NA,0.0449,0.0539,NA
"72",2004,"Reference",NA,"R2","9",112,NA,NA,0.0864,0.1008,NA
"73",2004,"Reference",NA,"R1","10",96,NA,NA,0.0739,0.0717,NA
"74",2004,"Reference",NA,"R2","14",99,NA,NA,0.1151,0.0938,NA
"75",2004,"Reference",NA,"R1","3",87,NA,NA,0.0927,0.0841,NA
"76",2004,"Reference",NA,"R1","16",63,NA,NA,0.0527,0.0331,NA
"77",2004,"Reference",NA,"R1","17",95,NA,NA,0.054,0.0524,NA
"78",2004,"Reference",NA,"R3","4",108,NA,NA,0.062,0.0844,NA
"79",2004,"Reference",NA,"R1","18",76,NA,NA,0.0566,0.0622,NA
"80",2004,"Reference",NA,"R2","5",76,NA,NA,0.0559,0.0516,NA
"81",2004,"Reference",NA,"R3","7",70,NA,NA,0.0749,0.0467,NA
"82",2004,"Reference",NA,"R3","5",68,NA,NA,0.0422,0.0518,NA
"83",2004,"Reference",NA,"R1","13",78,NA,NA,0.0378,0.0406,NA
"84",2004,"Reference",NA,"R2","3",88,NA,NA,0.0305,0.0381,NA
"85",2004,"Reference",NA,"R1","8",106,NA,NA,0.063,0.0829,NA
"86",2004,"Reference",NA,"R1","15",99,NA,NA,0.087,0.0708,NA
"87",2004,"Reference",NA,"R3","12",81,NA,NA,0.0708,0.0666,NA
"88",2004,"Reference",NA,"R2","4",74,NA,NA,0.0656,0.0599,NA
"89",2004,"Reference",NA,"R3","17",120,NA,NA,0.0978,0.128,NA
"90",2004,"Reference",NA,"R2","8",91,NA,NA,0.0678,0.0626,NA
"91",2004,"Reference",NA,"R3","14",80,NA,NA,0.0422,0.0455,NA
"92",2004,"Reference",NA,"R2","20",101,NA,NA,0.0865,0.0989,NA
"93",2004,"Reference",NA,"R3","11",77,NA,NA,0.0239,0.0384,NA
"94",2004,"Reference",NA,"R2","13",70,NA,NA,0.0766,0.0585,NA
"95",2004,"Reference",NA,"R2","18",75,NA,NA,0.0924,0.067,NA
"96",2004,"Reference",NA,"R3","6",89,NA,NA,0.1007,0.1054,NA
"97",2004,"Reference",NA,"R3","2",100,NA,NA,0.0592,0.0686,NA
"98",2004,"Reference",NA,"R3","1",84,NA,NA,0.0909,0.0751,NA
"99",2004,"Reference",NA,"R1","11",89,NA,NA,0.0394,0.0481,NA
"100",2004,"Reference",NA,"R3","9",77,NA,NA,0.0647,0.0633,NA
